topic,content,publisher_id,timestamp,latency
humidity,57.582579334770735,pub1,2023-02-12T13:31:28,-34.12691807746887
temperature,67,pub1,2023-02-12T13:31:28,-33.12602210044861
location,Africa,pub1,2023-02-12T13:31:28,-32.12224793434143
airquality,smog,pub1,2023-02-12T13:31:28,-31.120826959609985
humidity,53.20307548925292,pub1,2023-02-12T13:31:28,-30.119340896606445
temperature,-31,pub1,2023-02-12T13:31:28,-29.117544889450073
location,America,pub1,2023-02-12T13:31:28,-28.116125106811523
airquality,smog,pub1,2023-02-12T13:31:28,-27.1144540309906
humidity,37.74226069941888,pub1,2023-02-12T13:31:28,-26.11303210258484
temperature,-72,pub1,2023-02-12T13:31:28,-25.111658096313477
location,Europe,pub1,2023-02-12T13:31:28,-24.109375
airquality,good,pub1,2023-02-12T13:31:28,-23.107842922210693
humidity,39.159009849783104,pub1,2023-02-12T13:31:28,-22.1061270236969
temperature,54,pub1,2023-02-12T13:31:28,-21.104641914367676
location,Australia,pub1,2023-02-12T13:31:28,-20.10319495201111
airquality,smog,pub1,2023-02-12T13:31:28,-19.101418018341064
humidity,86.35851685750133,pub1,2023-02-12T13:31:28,-18.099994897842407
temperature,7,pub1,2023-02-12T13:31:28,-17.098323106765747
location,America,pub1,2023-02-12T13:31:28,-16.096858024597168
airquality,good,pub1,2023-02-12T13:31:28,-15.095711946487427
humidity,74.4143000615576,pub1,2023-02-12T13:31:28,-14.093682050704956
temperature,-66,pub1,2023-02-12T13:31:28,-13.092113018035889
location,America,pub1,2023-02-12T13:31:28,-12.09068489074707
airquality,poor,pub1,2023-02-12T13:31:28,-11.08938193321228
humidity,45.71395268012269,pub1,2023-02-12T13:31:28,-10.088035106658936
temperature,-2,pub1,2023-02-12T13:31:28,-9.086199045181274
location,Australia,pub1,2023-02-12T13:31:28,-8.085129022598267
airquality,smog,pub1,2023-02-12T13:31:28,-7.083681106567383
humidity,29.183879214968044,pub1,2023-02-12T13:31:28,-6.0824151039123535
temperature,-3,pub1,2023-02-12T13:31:28,-5.081127882003784
location,Australia,pub1,2023-02-12T13:31:28,-4.079493999481201
airquality,smog,pub1,2023-02-12T13:31:28,-3.0785269737243652
humidity,30.341834302541287,pub1,2023-02-12T13:31:28,-2.0771849155426025
temperature,2,pub1,2023-02-12T13:31:28,-1.0758240222930908
location,America,pub1,2023-02-12T13:31:28,-0.07435202598571777
airquality,good,pub1,2023-02-12T13:31:28,0.927095890045166
humidity,42.4270110887594,pub1,2023-02-12T13:31:28,1.9286229610443115
temperature,-75,pub1,2023-02-12T13:31:28,2.929636001586914
location,America,pub1,2023-02-12T13:31:28,3.9309959411621094
airquality,good,pub1,2023-02-12T13:31:28,4.932360887527466
humidity,39.55273249911649,pub1,2023-02-12T13:31:28,5.934099912643433
temperature,31,pub1,2023-02-12T13:31:28,6.9365808963775635
location,Australia,pub1,2023-02-12T13:31:28,7.937525987625122
airquality,good,pub1,2023-02-12T13:31:28,8.938841104507446
humidity,85.04464820463033,pub1,2023-02-12T13:31:28,9.940213918685913
temperature,42,pub1,2023-02-12T13:31:28,10.941988945007324
location,Australia,pub1,2023-02-12T13:31:28,11.943381071090698
airquality,poor,pub1,2023-02-12T13:31:28,12.945003032684326
humidity,98.0895094615438,pub1,2023-02-12T13:31:28,13.945571899414062
temperature,96,pub1,2023-02-12T13:31:28,14.946950912475586
location,Africa,pub1,2023-02-12T13:31:28,15.948259115219116
airquality,smog,pub1,2023-02-12T13:31:28,16.949567079544067
humidity,57.4704707788827,pub1,2023-02-12T13:31:28,17.950953006744385
temperature,72,pub1,2023-02-12T13:31:28,18.95231294631958
location,Europe,pub1,2023-02-12T13:31:28,19.95366597175598
airquality,good,pub1,2023-02-12T13:31:28,20.957036018371582
humidity,71.33619731108527,pub1,2023-02-12T13:31:28,21.957699060440063
temperature,-7,pub1,2023-02-12T13:31:28,22.959122896194458
location,America,pub1,2023-02-12T13:31:28,23.960640907287598
airquality,good,pub1,2023-02-12T13:31:28,24.96193504333496
